destination_url,source,medium,campaign,content,tagged_url,date_posted
https://bessavagner.com/blog/real-time-websockets-with-django-channels,linkedin,social,websockets-django-channels,2026-07-13-am-first-comment,https://bessavagner.com/blog/real-time-websockets-with-django-channels?utm_source=linkedin&utm_medium=social&utm_campaign=websockets-django-channels&utm_content=2026-07-13-am-first-comment,2026-07-13
https://bessavagner.com/blog/pruning-chat-context-by-summarization,linkedin,social,pruning-chat-context,2026-07-15-am-first-comment,https://bessavagner.com/blog/pruning-chat-context-by-summarization?utm_source=linkedin&utm_medium=social&utm_campaign=pruning-chat-context&utm_content=2026-07-15-am-first-comment,2026-07-15
https://bessavagner.com/building/turmarium/05-white-on-white-design-system,linkedin,social,turmarium-design-system,2026-07-21-pm-post-body,https://bessavagner.com/building/turmarium/05-white-on-white-design-system?utm_source=linkedin&utm_medium=social&utm_campaign=turmarium-design-system&utm_content=2026-07-21-pm-post-body,2026-07-21
https://bessavagner.com/building/regwatch/05-a-wall-between-tenants,linkedin,social,regwatch-tenant-isolation,2026-07-21-pm-post-body,https://bessavagner.com/building/regwatch/05-a-wall-between-tenants?utm_source=linkedin&utm_medium=social&utm_campaign=regwatch-tenant-isolation&utm_content=2026-07-21-pm-post-body,2026-07-21
https://bessavagner.com/building/stealthbench/03-every-falsy-value-went-missing,linkedin,social,stealthbench-nodriver,2026-07-21-am-post-body,https://bessavagner.com/building/stealthbench/03-every-falsy-value-went-missing?utm_source=linkedin&utm_medium=social&utm_campaign=stealthbench-nodriver&utm_content=2026-07-21-am-post-body,2026-07-21
https://bessavagner.com/building/turmarium/06-matricula-by-reference,linkedin,social,turmarium,2026-07-23-am-post-body,https://bessavagner.com/building/turmarium/06-matricula-by-reference?utm_source=linkedin&utm_medium=social&utm_campaign=turmarium&utm_content=2026-07-23-am-post-body,2026-07-23
https://bessavagner.com/blog/when-a-model-broke-containment,linkedin,social,llm-sandbox-containment,2026-07-23-pm-post-body,https://bessavagner.com/blog/when-a-model-broke-containment?utm_source=linkedin&utm_medium=social&utm_campaign=llm-sandbox-containment&utm_content=2026-07-23-pm-post-body,2026-07-23
https://bessavagner.com/blog/spec-driven-scaffolding,linkedin,social,spec-driven-scaffolding,2026-07-24-pm-post-body,https://bessavagner.com/blog/spec-driven-scaffolding?utm_source=linkedin&utm_medium=social&utm_campaign=spec-driven-scaffolding&utm_content=2026-07-24-pm-post-body,2026-07-24
https://bessavagner.com/building/supskill/02-shipping-the-gate,linkedin,social,supskill-plugin,2026-07-31-pm-post-body,https://bessavagner.com/building/supskill/02-shipping-the-gate?utm_source=linkedin&utm_medium=social&utm_campaign=supskill-plugin&utm_content=2026-07-31-pm-post-body,2026-07-31
https://bessavagner.com/blog/machine-readable-plan-format,linkedin,social,machine-readable-plan-format,2026-08-03-am-post-body,https://bessavagner.com/blog/machine-readable-plan-format?utm_source=linkedin&utm_medium=social&utm_campaign=machine-readable-plan-format&utm_content=2026-08-03-am-post-body,2026-08-03
